what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1455989153944
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1455989154126
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1455989154131
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1455989155211
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455989155303
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1455989155988
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.massif",1455989156217
stopped,bundle,org.eclipse.birt.chart.device.svg,2.6.2.r262_v20101230,"org.eclipse.birt.chart.device.svg",1455989156239
stopped,bundle,org.eclipse.birt.chart.device.extension,2.6.2.r262_v20110127,"org.eclipse.birt.chart.device.extension",1455989156278
stopped,bundle,org.eclipse.birt.chart.device.swt,2.6.2.r262_v20101209,"org.eclipse.birt.chart.device.swt",1455989156366
stopped,bundle,org.eclipse.birt.chart.engine.extension,2.6.2.r262_v20110113,"org.eclipse.birt.chart.engine.extension",1455989156395
stopped,bundle,org.eclipse.linuxtools.gcov,4.1.1.201101251503,"org.eclipse.linuxtools.gcov",1455989156427
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201101251503,"org.eclipse.linuxtools.gprof",1455989156430
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201101251503,"org.eclipse.linuxtools.dataviewers.charts",1455989156456
stopped,bundle,org.eclipse.birt.chart.ui,2.6.2.r262_v20110127,"org.eclipse.birt.chart.ui",1455989156484
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1455989156485
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboard,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.dashboard",1455989156594
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1455989156594
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.ide,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.ide",1455989156635
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphing,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphing",1455989156692
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.ui,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphingapi.ui",1455989156706
stopped,bundle,org.eclipse.birt.chart.engine,2.6.2.r262_v20110120,"org.eclipse.birt.chart.engine",1455989156739
stopped,bundle,org.eclipse.birt.core.ui,2.6.2.r262_v20101014,"org.eclipse.birt.core.ui",1455989156782
stopped,bundle,org.eclipse.birt.data.aggregation,2.6.2.r262_v20110127,"org.eclipse.birt.data.aggregation",1455989156840
stopped,bundle,org.eclipse.birt.data,2.6.2.r262_v20110215,"org.eclipse.birt.data",1455989156872
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1456062408082
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1456062408083
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1456062408084
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1456062408085
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1456062408085
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1456062408085
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1456062408086
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1456062408086
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1456062408086
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1456062408087
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1456062408087
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1456062408102
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1456062408103
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1456062408103
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1456062408105
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1456062408106
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1456062408107
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1456062408114
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1456062408114
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1456062408114
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1456062408115
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1456062408115
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1456062408134
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1456062408135
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1456062408136
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1456062408136
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1456062408137
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1456062408138
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1456062408139
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1456062408140
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1456062408141
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1456062408145
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1456062408161
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1456062408162
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1456062408162
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1456062408163
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1456062408164
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1456062408164
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1456062408164
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1456062408165
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1456062408165
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1456062408166
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1456062408166
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1456062408188
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1456062408188
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1456062408189
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1456062408198
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1456062408199
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1456062408202
started,bundle,org.eclipse.linuxtools.cdt.autotools,2.0.0.201101251503,"org.eclipse.linuxtools.cdt.autotools",1456062408204
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.core",1456062408205
started,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1456062408206
started,bundle,org.eclipse.linuxtools.systemtap.ui.editor,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.editor",1456062408206
started,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1456062408207
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1456062408207
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1456062408241
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1456062408243
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1456062408244
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1456062408257
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1456062408264
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1456062408299
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1456062408349
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1456062408350
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1456062408351
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1456062408351
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1456062408372
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1456062408381
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1456062408396
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1456062408397
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1456062408397
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1456062408397
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1456062408398
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1456062408409
os,sysinfo,,,"linux",1456062408416
arch,sysinfo,,,"x86_64",1456062408416
ws,sysinfo,,,"gtk",1456062408416
locale,sysinfo,,,"en_US",1456062408416
processors,sysinfo,,,"4",1456062408416
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1456062408416
java.runtime.version,sysinfo,,,"1.7.0_95-b00",1456062408416
java.specification.name,sysinfo,,,"Java Platform API Specification",1456062408416
java.specification.vendor,sysinfo,,,"Oracle Corporation",1456062408416
java.specification.version,sysinfo,,,"1.7",1456062408416
java.vendor,sysinfo,,,"Oracle Corporation",1456062408416
java.version,sysinfo,,,"1.7.0_95",1456062408416
java.vm.info,sysinfo,,,"mixed mode",1456062408416
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1456062408416
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1456062408416
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1456062408416
java.vm.specification.version,sysinfo,,,"1.7",1456062408416
java.vm.vendor,sysinfo,,,"Oracle Corporation",1456062408416
java.vm.version,sysinfo,,,"24.95-b01",1456062408416
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1456062408555
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1456062408721
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1456062408800
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1456062409020
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1456062409088
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1456062409391
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1456062409415
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1456062409436
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1456062409679
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1456062409709
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456062641119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456062847173
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456063173731
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456063173826
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1456063189101
